PARQUE;ESPECIE;UNIDADES 2020
JARDINES DEL BUEN RETIRO;Aesculus hippocastanum;5951
JARDINES DEL BUEN RETIRO;Platanus x hybrida;934
JARDINES DEL BUEN RETIRO;Cercis siliquastrum;720
JARDINES DEL BUEN RETIRO;Trachycarpus fortunei;532
JARDINES DEL BUEN RETIRO;Celtis australis;541
JARDINES DEL BUEN RETIRO;Cupressus sempervirens;553
JARDINES DEL BUEN RETIRO;Gleditsia triacanthos;510
JARDINES DEL BUEN RETIRO;Pinus pinea;414
JARDINES DEL BUEN RETIRO;Sophora japonica;383
JARDINES DEL BUEN RETIRO;Ulmus pumila;372
JARDINES DEL BUEN RETIRO;Otros;6425
;Total:;17335
QUINTA FUENTE DEL BERRO;Ligustrum lucidum;313
QUINTA FUENTE DEL BERRO;Cupressus sempervirens;134
QUINTA FUENTE DEL BERRO;Aesculus hippocastanum;82
QUINTA FUENTE DEL BERRO;Prunus cerasifera subsp. Pissartii;60
QUINTA FUENTE DEL BERRO;Cedrus deodara;55
QUINTA FUENTE DEL BERRO;Acacia dealbata;47
QUINTA FUENTE DEL BERRO;Trachycarpus fortunei;36
QUINTA FUENTE DEL BERRO;Populus alba bolleana;30
QUINTA FUENTE DEL BERRO;Platanus x hybrida;26
QUINTA FUENTE DEL BERRO;Celtis australis;25
QUINTA FUENTE DEL BERRO;Otros;338
;Total:;1146
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Cercis siliquastrum;748
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Cupressus sempervirens;365
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Pinus pinea;215
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Gleditsia triacanthos;214
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Fraxinus angustifolia;185
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Quercus robur;146
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Platanus x hybrida;139
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Acer campestre;114
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Robinia pseudoacacia;105
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Aesculus hippocastanum;77
EL CAPRICHO DE LA ALAMEDA DE OSUNA;Otros;1238
;Total:;3546
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Pinus halepensis;2973
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Pinus pinea;2818
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Celtis australis;1093
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Quercus ilex;825
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Cedrus deodara;529
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Platanus orientalis;395
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Ulmus pumila;389
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Quercus robur;346
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Melia azedarach;252
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;Quercus suber;246
