Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades;
Centro;01;Ligustrum japonicum 'variegata';2641;
Centro;01;Sophora japonica;1577;
Centro;01;Platanus x hybrida;1432;
Centro;01;Aesculus hippocastanum;510;
Centro;01;Ulmus pumila;369;
Centro;01;Pyrus calleryana 'Chanticleer';368;
Centro;01;Prunus cerasifera subsp. Pissartii;356;
Centro;01;Robinia pseudoacacia;306;
Centro;01;Ligustrum japonicum 'variegata';303;
Centro;01;Otros;4079;
;;Total;11941;
Arganzuela;02;Platanus x hybrida;3454;
Arganzuela;02;Sophora japonica;2400;
Arganzuela;02;Celtis australis;1565;
Arganzuela;02;Pinus pinea;1362;
Arganzuela;02;Ulmus pumila;1293;
Arganzuela;02;Ligustrum japonicum;1277;
Arganzuela;02;Robinia pseudoacacia;1261;
Arganzuela;02;Acer negundo;1191;
Arganzuela;02;Melia azedarach;1090;
Arganzuela;02;Prunus cerasifera subsp. Pissartii;696;
Arganzuela;02;Gleditsia triacanthos;668;
Arganzuela;02;Otros;7722;
;;Total;23979;
Retiro;03;Platanus x hybrida;2586;
Retiro;03;Sophora japonica;2360;
Retiro;03;Ulmus pumila;1934;
Retiro;03;Ligustrum japonicum;978;
Retiro;03;Pinus pinea;883;
Retiro;03;Robinia pseudoacacia;592;
Retiro;03;Celtis australis;457;
Retiro;03;X Cupressocyparis leylandii;444;
Retiro;03;Cupressus sempervirens;423;
Retiro;03;Cupressus arizonica;380;
Retiro;03;Liquidambar styraciflua;328;
Retiro;03;Prunus cerasifera subsp. Pissartii;304;
Retiro;03;Aesculus hippocastanum;300;
Retiro;03;Otros;3206;
;;Total;15175;
Salamanca;04;Sophora japonica;5917;
Salamanca;04;Platanus x hybrida;2482;
Salamanca;04;Ligustrum japonicum;1859;
Salamanca;04;Pinus pinea;913;
Salamanca;04;Ulmus pumila;881;
Salamanca;04;Aesculus hippocastanum;668;
Salamanca;04;Robinia pseudoacacia;564;
Salamanca;04;Prunus cerasifera subsp. Pissartii;534;
Salamanca;04;Acer negundo;402;
Salamanca;04;Populus alba 'bolleana';352;
Salamanca;04;Otros;5965;
;;Total;20537;
CHAMARTÍN;05;Platanus x hybrida;6061;
