PARQUE;Altura Promedio (m);Perimetro Promedio (cm);Recien plantado y no consolidado;Joven;Maduro;Viejo;Otros;Total general;;;;;;
CUÑA VERDE DE O´DONNELL Y P. F. FUENTE CARRANTONA;3,99;38,16;75;5467;7263;136;497;13438;;;;;;
DEHESA DE LA VILLA;7,73;86,51;168;1177;7128;181;18;8672;;;;;;
Z.V.DISTRITO C-LAS TABLAS;3,93;11,72;0;1303;0;0;0;1303;;;;;;
CAPRICHO DE LA ALAMEDA DE OSUNA;12,71;80,46;79;558;2567;387;8;3599;;;;;;
JARDINES DEL BUEN RETIRO;10,04;94,41;239;5759;10504;997;9;17508;;;;;;
JARDINES PZA DE ORIENTE-JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;10,195;128,1;3;20;229;2;0;254;;;;;;
JARDINES DE SABATINI;8,07;129,89;0;9;210;1;0;220;;;;;;
PARQUE DEL OESTE- TEMPLO DE DEBOD;13,14;97,03;115;1365;5979;155;17;7631;;;;;;
QUINTA FUENTE DEL BERRO;10,16;73,86;22;218;910;13;5;1168;;;;;;
QUINTA DE LOS MOLINOS;12,98;63,68;42;301;6756;38;2;7139;;;;;;
ROSALEDA DE MADRID (PARQUE DEL OESTE);13,81;159,35;0;12;67;36;0;115;;;;;;
PARQUE FORESTAL VALDEBEBAS;3,92;26,99;1872;3575;273;104;0;5824;;;;;;
PARQUE JUAN CARLOS I;4,81;43,78;1097;509;11912;464;332;14314;;;;;;
PARQUE JUAN PABLO II;4,45;34,48;72;774;735;0;27;1608;;;;;;
MADRID RÍO;5,59;32,49;4;8514;7070;191;14;15793;;;;;;
PARQUE LINEAL DEL MANZANARES;4,661;25,867;758;10808;3627;34;83;15310;;;;;;
Total:;;;;;;;;113.896;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
