PARQUE;ESPECIE PREDOMINANTE;Unidades 2020;SUPERFICIE OCUPADA  (m2) ;Superficie (ha);Superficie TOTAL  Parque (ha)
PARQUE LINEAL DEL MANZANARES;Pinus halepensis;1726;;;
PARQUE LINEAL DEL MANZANARES;Pinus pinea;571;;;
PARQUE LINEAL DEL MANZANARES;Otros;38;;;
;;;;;
PARQUE LINEAL DEL MANZANARES;;2.335;334.491,63;33,45;88,22
;;;;;
PARQUE FORESTAL DE VALDEBEBAS- FELIPE VI;Pinus pinea;53.241;2.900.300,05;290,03;387,55
;;;(Comprende las zonas en conservación y con bajo mantenimiento);;Superficie total ejecutada del parque 
;;;;;
PARQUE MADRID RÍO;Pinus halepensis;2.881;92.970,17;9,30;105,71
;;;;;
;;;;;
CASA DE CAMPO (Zona Forestal);Pinus pinea;482.175;9.463.245,76;946,32;
CASA DE CAMPO (Zona Urbana);Pinus pinea;210.820;4.071.257,49;407,13;
CASA DE CAMPO (Total);Pinus pinea;692.995;13.534.503,24;1.353,45;1.495,61
;;;;;
;;;;;
PARQUE JUAN PABLO II (PINAR);Pinus halepensis ;8.473;148.793,57;14,88;29,60
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
NOTA 1: Para calcular el nº de pies de las diferentes masas forestales y árboreas de los  parques se ha utilizado el dato de densidad (ud/ha) de cada masa, valor diferente para cada una de ellas. ;;;;;
;;;;;
;;;;;
;;;;;
NOTA 2: Los datos de superficie se refieren a la superfice ocupada por la masas forestales/arbóreas dentro de cada parque, valor que difiere de la superficie total del parque;;;;;
;;;;;
;;;;;
NOTA 3: Los datos siempre se refieren a las zonas actualmente en conservación por parte del Ayuntamiento;;;;;
