DISTRITO;ESPECIE PREDOMINANTE;Unidades
ARGANZUELA;;0
BARAJAS;Pinus halepensis;2102
CARABANCHEL;Pinus halepensis;28160
CENTRO;;0
CHAMARTÍN;;0
CHAMBERÍ;;0
CIUDAD LINEAL;Pinus halepensis;6973
FUENCARRAL - EL PARDO;Pinus pinea;33826
HORTALEZA;Pinus pinea;30819
LATINA;Pinus pinea;33127
MONCLOA-ARAVACA;Pinus pinea;36334
MORATALAZ;Pinus halepensis;4452
PUENTE DE VALLECAS;Pinus halepensis;30068
RETIRO;;0
SALAMANCA;;0
SAN BLAS - CANILLEJAS;Pinus pinea;6480
TETUÁN;Pinus halepensis;3310
USERA;;0
VICÁLVARO;Pinus halepensis;16232
VILLA DE VALLECAS;Pinus halepensis;40785
VILLAVERDE;Pinus pinea;13816
;;286484
