Nº DISTRITO;DISTRITO;ESPECIE PREDOMINANTE;Nº masas;Superficie Masa Forestal m2;Superficie Masa Forestal ha
1;CENTRO;;0;0,00;0,00
2;ARGANZUELA;;0;0,00;0,00
3;RETIRO;Pinus pinea;1;486,11;0,05
4;SALAMANCA;Cupresus arizonica;1;2406,40;0,24
5;CHAMARTÍN;;0;0,00;0,00
6;TETUÁN;Pinus halepensis;39;88674,21;8,87
7;CHAMBERÍ;;0;0,00;0,00
8;FUENCARRAL - EL PARDO;Pinus pinea;202;916067,24;91,61
9;MONCLOA-ARAVACA;Pinus pinea;84;601214,60;60,12
10;LATINA;Pinus pinea;181;625688,63;62,57
11;CARABANCHEL;Pinus halepensis;31;291206,69;29,12
12;USERA;;0;0,00;0,00
13;PUENTE DE VALLECAS;Pinus halepensis;10;687559,53;68,76
14;MORATALAZ;Pinus halepensis;14;102464,99;10,25
15;CIUDAD LINEAL;Pinus halepensis;4;148195,13;14,82
16;HORTALEZA;Pinus pinea;31;784231,99;78,42
17;VILLAVERDE;Pinus pinea;53;400215,64;40,02
18;VILLA DE VALLECAS;Pinus halepensis;5;626758,16;62,68
19;VICÁLVARO;Pinus halepensis;6;446509,84;44,65
20;SAN BLAS - CANILLEJAS;Pinus pinea;8;195820,29;19,58
21;BARAJAS;Pinus halepensis;8;222411,00;22,24
;;;;;
;Totales:;;678;6139910,47;613,99
;;;;;
;;;;;
NOTA 1:;No se ofrecen datos del nº de unidades existentes en cada distrito porque los datos de densidad varían de unas a otras, incluso dentro de un distrito (por ejemplo, la densidad aproximada en los distritos de Retiro y Salamanca es de 270 uds. por  hectárea, valor que varía entre las masas de dichos distritos y con respecto a otros);;;;
;Por tanto, los datos sobre el nº de unidades pueden ser muy imprecisos cuando se quiere dar una cifra única por distrito. ;;;;
;;;;;
NOTA 2:;Existen algunos casos en que la masa arbórea no se ajusta totalmente a los límites administrativos del distrito, expandiendose más allá de estos.;;;;
;En estos casos se ha computado la totalidad de la superficie de la masa al distrito.;;;;
