parque;especie;n_de_ejemplares;;;;;
jardines_del_buen_retiro;aesculus_hippocastanum;6.377;;;;;
jardines_del_buen_retiro;platanus_hispanica;941;;;;;
jardines_del_buen_retiro;cercis_siliquastrum;734;;;;;
jardines_del_buen_retiro;trachycarpus_fortunei;652;;;;;
jardines_del_buen_retiro;cupressus_sempervirens;574;;;;;
jardines_del_buen_retiro;gleditsia_triacanthos;545;;;;;
jardines_del_buen_retiro;celtis_australis;543;;;;;
jardines_del_buen_retiro;pinus_pinea;528;;;;;
jardines_del_buen_retiro;ulmus_minor;467;;;;;
jardines_del_buen_retiro;ulmus_pumila;462;;;;;
jardines_del_buen_retiro;otros;6.609;;;;;
parque_del_oeste;pinus_pinea;1.389;;;;;
parque_del_oeste;sophora_japonica;783;;;;;
parque_del_oeste;platanus_hispanica;631;;;;;
parque_del_oeste;ligustrum_japonicum;511;;;;;
parque_del_oeste;pinus_halepensis;438;;;;;
parque_del_oeste;cedrus_deodara;417;;;;;
parque_del_oeste;populus_alba_bolleana;412;;;;;
parque_del_oeste;prunus_cerasifera_pissardii;333;;;;;
parque_del_oeste;celtis_australis;287;;;;;
parque_del_oeste;cedrus_atlantica;272;;;;;
parque_del_oeste;otros;2.573;;;;;
quinta_de_los_molinos;prunus_dulcis;1.479;;;;;
quinta_de_los_molinos;pinus_halepensis;1.459;;;;;
quinta_de_los_molinos;cupressus_sempervirens;605;;;;;
quinta_de_los_molinos;pinus_pinea;510;;;;;
quinta_de_los_molinos;eucalyptus_sp;436;;;;;
quinta_de_los_molinos;ulmus_sp;295;;;;;
quinta_de_los_molinos;platanus_hispanica;272;;;;;
quinta_de_los_molinos;cedrus_deodara;253;;;;;
quinta_de_los_molinos;gleditsia_triacanthos;221;;;;;
quinta_de_los_molinos;celtis_australis;193;;;;;
quinta_de_los_molinos;otros;1.528;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";cercis_siliquastrum;735;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";cupressus_sempervirens;326;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";pinus_pinea;249;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";gleditsia_triacanthos;225;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";fraxinus_angustifolia;182;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";platanus_hispanica;139;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";quercus_robur;137;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";robinia_pseudoacacia;121;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";aesculus_hippocastanum;108;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";ulmus_pumila;95;;;;;
"jardin_""el_capricho""_de_la_alameda_de_osuna";otros;1.288;;;;;
quinta_de_la_fuente_del_berro;ligustrum_lucidum;335;;;;;
quinta_de_la_fuente_del_berro;cupressus_sempervirens;138;;;;;
quinta_de_la_fuente_del_berro;aesculus_hippocastanum;87;;;;;
quinta_de_la_fuente_del_berro;prunus_cerasifera_pissardii;62;;;;;
quinta_de_la_fuente_del_berro;cedrus_deodara;59;;;;;
quinta_de_la_fuente_del_berro;acacia_dealbata;48;;;;;
quinta_de_la_fuente_del_berro;trachycarpus_fortunei;41;;;;;
quinta_de_la_fuente_del_berro;populus_alba_bolleana;31;;;;;
quinta_de_la_fuente_del_berro;celtis_australis;27;;;;;
quinta_de_la_fuente_del_berro;platanus_hispanica;26;;;;;
quinta_de_la_fuente_del_berro;otros;359;;;;;
casa_de_campo;pinus_pinea;281.931;;;;;
casa_de_campo;quercux_ilex;228.654;;;;;
casa_de_campo;cupressus_arizonica;53.326;;;;;
casa_de_campo;ulmus_sp;30.996;;;;;
casa_de_campo;fraxinus_angustifolia;13.575;;;;;
casa_de_campo;pinus_halepensis;9.081;;;;;
casa_de_campo;cupressus_sempervirens;3.686;;;;;
casa_de_campo;platanus_hispanica;2.490;;;;;
casa_de_campo;salix_sp;1.493;;;;;
casa_de_campo;populus_nigra;1.263;;;;;
casa_de_campo;otros;5.383;;;;;
