parque;especie;unidades_2019;;;
jardines_del_buen_retiro;aesculus_hippocastanum;6008;;;
jardines_del_buen_retiro;platanus_x_hybrida;925;;;
jardines_del_buen_retiro;cercis_siliquastrum;724;;;
jardines_del_buen_retiro;trachycarpus_fortunei;604;;;
jardines_del_buen_retiro;cupressus_sempervirens;552;;;
jardines_del_buen_retiro;celtis_australis;547;;;
jardines_del_buen_retiro;gleditsia_triacanthos;517;;;
jardines_del_buen_retiro;pinus_pinea;416;;;
jardines_del_buen_retiro;sophora_japonica;396;;;
jardines_del_buen_retiro;ulmus_pumila;396;;;
jardines_del_buen_retiro;otros;6423;;;
quinta_fuente_del_berro;ligustrum_lucidum;321;;;
quinta_fuente_del_berro;cupressus_sempervirens;134;;;
quinta_fuente_del_berro;aesculus_hippocastanum;82;;;
quinta_fuente_del_berro;prunus_cerasifera_subsp._pissartii;60;;;
quinta_fuente_del_berro;cedrus_deodara;58;;;
quinta_fuente_del_berro;acacia_dealbata;47;;;
quinta_fuente_del_berro;trachycarpus_fortunei;37;;;
quinta_fuente_del_berro;populus_alba_bolleana;31;;;
quinta_fuente_del_berro;platanus_x_hybrida;27;;;
quinta_fuente_del_berro;celtis_australis;26;;;
quinta_fuente_del_berro;otros;345;;;
capricho_de_la_alameda_de_osuna;cercis_siliquastrum;747;;;
capricho_de_la_alameda_de_osuna;cupressus_sempervirens;367;;;
capricho_de_la_alameda_de_osuna;pinus_pinea;220;;;
capricho_de_la_alameda_de_osuna;gleditsia_triacanthos;216;;;
capricho_de_la_alameda_de_osuna;fraxinus_angustifolia;187;;;
capricho_de_la_alameda_de_osuna;quercus_robur;145;;;
capricho_de_la_alameda_de_osuna;platanus_x_hybrida;140;;;
capricho_de_la_alameda_de_osuna;acer_campestre;114;;;
capricho_de_la_alameda_de_osuna;robinia_pseudoacacia;111;;;
capricho_de_la_alameda_de_osuna;aesculus_hippocastanum;79;;;
capricho_de_la_alameda_de_osuna;otros;1273;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;pinus_halepensis;3228;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;pinus_pinea;2786;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;celtis_australis;1040;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;quercus_ilex;833;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;cedrus_deodara;494;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;ulmus_pumila;395;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;platanus_orientalis;393;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;quercus_robur;357;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;cupressocyparis_leylandii;255;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;platanus_hybrida;254;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;otros;3403;;;
dehesa_de_la_villa;pinus_pinea;4904;;;
dehesa_de_la_villa;pinus_halepensis;742;;;
dehesa_de_la_villa;prunus_dulcis;578;;;
dehesa_de_la_villa;ulmus_pumila;271;;;
dehesa_de_la_villa;quercus_ilex;218;;;
dehesa_de_la_villa;ailanthus_altissima;205;;;
dehesa_de_la_villa;fraxinus_angustifolia;164;;;
dehesa_de_la_villa;platanus_x_hybrida;144;;;
dehesa_de_la_villa;gleditsia_triacanthos;131;;;
dehesa_de_la_villa;celtis_australis;115;;;
dehesa_de_la_villa;otros;1200;;;
z.v.distrito_c-las_tablas;pinus_pinea;400;;;
z.v.distrito_c-las_tablas;celtis_australis;315;;;
z.v.distrito_c-las_tablas;prunus_cerasifera_pissardii;110;;;
z.v.distrito_c-las_tablas;melia_azederach;61;;;
z.v.distrito_c-las_tablas;cupressocyparis_leylandii;60;;;
z.v.distrito_c-las_tablas;liquidambar_styraciflua;46;;;
z.v.distrito_c-las_tablas;cedrus_deodara;45;;;
z.v.distrito_c-las_tablas;olea_europaea;38;;;
z.v.distrito_c-las_tablas;gleditsia_triacanthos_inermes;30;;;
z.v.distrito_c-las_tablas;pyrus_calleryana;26;;;
z.v.distrito_c-las_tablas;otros;172;;;
parque_juan_carlos_i;olea_europaea;2377;;;
parque_juan_carlos_i;pinus_pinea;1243;;;
parque_juan_carlos_i;catalpa_bignonioides;980;;;
parque_juan_carlos_i;sophora_japonica;581;;;
parque_juan_carlos_i;cupressocyparis_leilandii;566;;;
parque_juan_carlos_i;fraxinus_excelsior;499;;;
parque_juan_carlos_i;cupressus_sempervirens;494;;;
parque_juan_carlos_i;platanus_hybrida;432;;;
parque_juan_carlos_i;fraxinus_angustifolia;314;;;
parque_juan_carlos_i;populus_alba;289;;;
parque_juan_carlos_i;otros;6539;;;
parque_juan_pablo_ii;aesculus_hippocastanum;133;;;
parque_juan_pablo_ii;pinus_pinea;123;;;
parque_juan_pablo_ii;celtis_australis;104;;;
parque_juan_pablo_ii;morus_alba;100;;;
parque_juan_pablo_ii;liquidambar_styraciflua;80;;;
parque_juan_pablo_ii;gleditsia_triacanthos;66;;;
parque_juan_pablo_ii;prunus_dulcis;63;;;
parque_juan_pablo_ii;trachycarpus_fortunei;58;;;
parque_juan_pablo_ii;punica_granatum;47;;;
parque_juan_pablo_ii;tilia_platyphyllos;46;;;
parque_juan_pablo_ii;otros;788;;;
madrid_rio;pinus_pinea_(pino_pinonero);3094;;;
madrid_rio;pinus_halepensis_(pino_carrasco);2776;;;
madrid_rio;platanus_hybrida_(platano_de_sombra);1481;;;
madrid_rio;acer_x_freemanii_(arce);694;;;
madrid_rio;populus_nigra_(chopo_negro);687;;;
madrid_rio;aesculus_hippocastanum_(castano_de_indias);534;;;
madrid_rio;melia_azedarach_(cinamomo);504;;;
madrid_rio;fraxinus_angustifolia_(fresno_de_la_tierra);448;;;
madrid_rio;ginkgo_biloba_(gingo);434;;;
madrid_rio;tilia_platyphyllos_(tilo_de_hojas_grandes);414;;;
madrid_rio;otros;4727;;;
quinta_de_los_molinos;prunus_dulcis;1674;;;
quinta_de_los_molinos;pinus_halepensis;1313;;;
quinta_de_los_molinos;cupressus_sempervirens;609;;;
quinta_de_los_molinos;pinus_pinea;462;;;
quinta_de_los_molinos;eucalyptus_sp;401;;;
quinta_de_los_molinos;platanus_x_hybrida;277;;;
quinta_de_los_molinos;ulmus_sp;253;;;
quinta_de_los_molinos;cedrus_deodara;249;;;
quinta_de_los_molinos;gleditsia_triacanthos;220;;;
quinta_de_los_molinos;ligustrum_japonicum;178;;;
quinta_de_los_molinos;otros;1503;;;
parque_del_oeste-_templo_de_debod;pinus_pinea;1205;;;
parque_del_oeste-_templo_de_debod;sophora_japonica;830;;;
parque_del_oeste-_templo_de_debod;platanus_x_hybrida;627;;;
parque_del_oeste-_templo_de_debod;ligustrum_japonicum;508;;;
parque_del_oeste-_templo_de_debod;pinus_halepensis;372;;;
