parque;especie;unidades_2020
jardines_del_buen_retiro;aesculus_hippocastanum;5951
jardines_del_buen_retiro;platanus_x_hybrida;934
jardines_del_buen_retiro;cercis_siliquastrum;720
jardines_del_buen_retiro;trachycarpus_fortunei;532
jardines_del_buen_retiro;celtis_australis;541
jardines_del_buen_retiro;cupressus_sempervirens;553
jardines_del_buen_retiro;gleditsia_triacanthos;510
jardines_del_buen_retiro;pinus_pinea;414
jardines_del_buen_retiro;sophora_japonica;383
jardines_del_buen_retiro;ulmus_pumila;372
jardines_del_buen_retiro;otros;6425
;total:;17335
quinta_fuente_del_berro;ligustrum_lucidum;313
quinta_fuente_del_berro;cupressus_sempervirens;134
quinta_fuente_del_berro;aesculus_hippocastanum;82
quinta_fuente_del_berro;prunus_cerasifera_subsp._pissartii;60
quinta_fuente_del_berro;cedrus_deodara;55
quinta_fuente_del_berro;acacia_dealbata;47
quinta_fuente_del_berro;trachycarpus_fortunei;36
quinta_fuente_del_berro;populus_alba_bolleana;30
quinta_fuente_del_berro;platanus_x_hybrida;26
quinta_fuente_del_berro;celtis_australis;25
quinta_fuente_del_berro;otros;338
;total:;1146
el_capricho_de_la_alameda_de_osuna;cercis_siliquastrum;748
el_capricho_de_la_alameda_de_osuna;cupressus_sempervirens;365
el_capricho_de_la_alameda_de_osuna;pinus_pinea;215
el_capricho_de_la_alameda_de_osuna;gleditsia_triacanthos;214
el_capricho_de_la_alameda_de_osuna;fraxinus_angustifolia;185
el_capricho_de_la_alameda_de_osuna;quercus_robur;146
el_capricho_de_la_alameda_de_osuna;platanus_x_hybrida;139
el_capricho_de_la_alameda_de_osuna;acer_campestre;114
el_capricho_de_la_alameda_de_osuna;robinia_pseudoacacia;105
el_capricho_de_la_alameda_de_osuna;aesculus_hippocastanum;77
el_capricho_de_la_alameda_de_osuna;otros;1238
;total:;3546
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;pinus_halepensis;2973
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;pinus_pinea;2818
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;celtis_australis;1093
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;quercus_ilex;825
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;cedrus_deodara;529
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;platanus_orientalis;395
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;ulmus_pumila;389
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;quercus_robur;346
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;melia_azedarach;252
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;quercus_suber;246
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;otros;3126
;total:;12992
parque_de_la_dehesa_de_la_villa;pinus_pinea;4844
parque_de_la_dehesa_de_la_villa;pinus_halepensis;726
parque_de_la_dehesa_de_la_villa;prunus_dulcis;569
parque_de_la_dehesa_de_la_villa;ulmus_pumila;265
parque_de_la_dehesa_de_la_villa;quercus_ilex;217
parque_de_la_dehesa_de_la_villa;ailanthus_altissima;200
parque_de_la_dehesa_de_la_villa;fraxinus_angustifolia;162
parque_de_la_dehesa_de_la_villa;platanus_x_hybrida;142
