nombre_distrito;n_distrito;nombre_especie;n_unidades
centro;01;ligustrumjaponicum'variegata';300
centro;01;robinia_pseudoacacia;320
centro;01;prunus_cerasifera_subsp._pissartii;348
centro;01;ulmus_pumila;367
centro;01;aesculus_hippocastanum;510
centro;01;platanus_x_hybrida;1367
centro;01;sophora_japonica;1585
centro;01;ligustrum_japonicum;2646
centro;01;otros;3838
;;total;11281
arganzuela;02;prunus_cerasifera_pisardii;717
arganzuela;02;melia_azedarach;1047
arganzuela;02;acer_negundo;1205
arganzuela;02;robinia_pseudoacacia;1275
arganzuela;02;ligustrum_japonicum;1284
arganzuela;02;ulmus_pumila;1298
arganzuela;02;pinus_pinea;1371
arganzuela;02;celtis_australis;1434
arganzuela;02;sophora_japonica;2414
arganzuela;02;platanus_x_hybrida;3428
arganzuela;02;otros;8213
;;total;23686
retiro;03;prunus_cerasifera_subsp._pissartii;299
retiro;03;aesculus_hippocastanum;303
retiro;03;liquidambar_styraciflua;328
retiro;03;cupressus_arizonica;344
retiro;03;cupressus_sempervirens;418
retiro;03;celtis_australis;432
retiro;03;cupressocyparis_leilandii;455
retiro;03;robinia_pseudoacacia;487
retiro;03;pinus_pinea;892
retiro;03;ligustrum_japonicum;981
retiro;03;ulmus_pumila;1948
retiro;03;sophora_japonica;2297
retiro;03;platanus_x_hybrida;2585
retiro;03;otros;3029
;;total;14798
salamanca;04;populusalba_'bolleana';361
salamanca;04;acer_negundo;404
salamanca;04;prunus_cerasifera_pisardii;545
salamanca;04;robinia_pseudoacacia;581
salamanca;04;aesculus_hippocastanum;667
salamanca;04;ulmus_pumila;912
salamanca;04;pinus_pinea;928
salamanca;04;ligustrum_japonicum;1854
salamanca;04;platanus_x_hybrida;2497
salamanca;04;sophora_japonica;5921
salamanca;04;otros;5969
;;total;20639
chamartin;05;populusalba_'bolleana';598
chamartin;05;aesculus_hippocastanum;645
chamartin;05;melia_azedarach;722
chamartin;05;ligustrum_japonicum;938
chamartin;05;prunus_cerasifera_pisardii;971
chamartin;05;celtis_australis;1146
chamartin;05;robinia_pseudoacacia;1164
chamartin;05;pinus_pinea;1344
chamartin;05;ulmus_pumila;2611
chamartin;05;sophora_japonica;3744
chamartin;05;platanus_x_hybrida;6080
chamartin;05;otros;6155
;;total;26118
tetuan;06;cupressus_sempervirens;423
tetuan;06;celtis_australis;455
tetuan;06;aesculus_hippocastanum;466
tetuan;06;melia_azedarach;507
tetuan;06;sophora_japonica;522
tetuan;06;pinus_pinea;529
tetuan;06;prunus_cerasifera_pisardii;731
tetuan;06;ulmus_pumila;821
tetuan;06;ligustrum_japonicum;925
tetuan;06;platanus_x_hybrida;4519
