parque;altura_promedio_(m);perimetro_promedio_(cm);recien_plantado_y_no_consolidado;joven;maduro;viejo;otros;total_general;;;;;;
cuna_verde_de_oadonnell_y_p._f._fuente_carrantona;3,99;38,16;75;5467;7263;136;497;13438;;;;;;
dehesa_de_la_villa;7,73;86,51;168;1177;7128;181;18;8672;;;;;;
z.v.distrito_c-las_tablas;3,93;11,72;0;1303;0;0;0;1303;;;;;;
capricho_de_la_alameda_de_osuna;12,71;80,46;79;558;2567;387;8;3599;;;;;;
jardines_del_buen_retiro;10,04;94,41;239;5759;10504;997;9;17508;;;;;;
jardines_pza_de_oriente-jardan_del_cabo_noval-jardan_de_lepanto;10,195;128,1;3;20;229;2;0;254;;;;;;
jardines_de_sabatini;8,07;129,89;0;9;210;1;0;220;;;;;;
parque_del_oeste-_templo_de_debod;13,14;97,03;115;1365;5979;155;17;7631;;;;;;
quinta_fuente_del_berro;10,16;73,86;22;218;910;13;5;1168;;;;;;
quinta_de_los_molinos;12,98;63,68;42;301;6756;38;2;7139;;;;;;
rosaleda_de_madrid_(parque_del_oeste);13,81;159,35;0;12;67;36;0;115;;;;;;
parque_forestal_valdebebas;3,92;26,99;1872;3575;273;104;0;5824;;;;;;
parque_juan_carlos_i;4,81;43,78;1097;509;11912;464;332;14314;;;;;;
parque_juan_pablo_ii;4,45;34,48;72;774;735;0;27;1608;;;;;;
madrid_rao;5,59;32,49;4;8514;7070;191;14;15793;;;;;;
parque_lineal_del_manzanares;4,661;25,867;758;10808;3627;34;83;15310;;;;;;
total:;;;;;;;;113.896;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
