parque;altura_promedio_(m);perimetro_promedio_(cm);recien_plantado_y_no_consolidado;joven;maduro;viejo;otros;total_general;;;;;
cuna_verde_de_odonnell_y_p._f._fuente_carrantona;4,12;38,61;204;5.687;6.970;131;0;12.992;;;;;
parque_de_la_dehesa_de_la_villa;7,72;86,3;168;1.164;7.034;177;14;8.557;;;;;
z.v._distrito_c-las_tablas;3,78;12,37;0;1.670;45;0;0;1.715;;;;;
el_capricho_de_la_alameda_de_osuna;12,6;80,17;85;557;2.515;381;8;3.546;;;;;
jardines_del_buen_retiro;9,85;91,34;390;5.671;10.300;965;9;17.335;;;;;
jardines_plaza_de_oriente-jardin_del_cabo_noval-jardin_de_lepanto;10,22;128,01;3;20;228;2;0;253;;;;;
jardines_de_sabatini;8,01;129,54;0;9;208;1;0;218;;;;;
parque_del_oeste-_templo_de_debod;13,06;96,44;163;1.340;5.881;151;7;7.542;;;;;
quinta_fuente_del_berro;10,13;81,94;27;216;885;13;5;1.146;;;;;
quinta_de_los_molinos;12,92;63,49;42;306;6.611;37;0;6.996;;;;;
rosaleda_de_madrid_(parque_del_oeste);13,65;158,0;0;14;66;36;0;116;;;;;
parque_forestal_de_valdebebas-_felipe_vi;3,87;26,75;1.991;3.454;269;104;0;5.818;;;;;
parque_juan_carlos_i;4,76;44,0;0;405;13.283;464;39;14.191;;;;;
parque_juan_pablo_ii;4,49;34,28;70;799;769;0;10;1.648;;;;;
parque_madrid_rio;5,58;32,49;0;8.480;6.985;187;1;15.653;;;;;
parque_lineal_del_manzanares;4,77;26,78;35;11.218;4.673;83;0;16.009;;;;;
total:;;;;;;;;113.735;;;;;
;;;;;;;;;;;;;
en_el_epigrafe_otros_se_han_considerado_los_arboles_decrepitos_y_los_arboles_todavia_no_clasificados_en_la_base_de_datos.;;;;;;;;;;;;;
en_el_epigrafe_otros_no_se_han_considerado_los_arboles_correspondientes_a_tocones.;;;;;;;;;;;;;
