n_distrito;distrito;especie_predominante;unidades;superficie_masa_forestal_m2
1;centro;;0;0
2;arganzuela;;0;0
3;retiro;pinus_pinea;13;486,11223
4;salamanca;cupresus_arizonica;65;2406,400183
5;chamartin;;0;0
6;tetuan;pinus_halepensis;3310;88674,20597
7;chamberi;;0;0
8;fuencarral_-_el_pardo;pinus_pinea;33826;917797,3589
9;moncloa-aravaca;pinus_pinea;36334;601214,6035
10;latina;pinus_pinea;33127;645468,5313
11;carabanchel;pinus_halepensis;28160;291401,3404
12;usera;;0;0
13;puente_de_vallecas;pinus_halepensis;30068;687419,1454
14;moratalaz;pinus_halepensis;4452;102469,0414
15;ciudad_lineal;pinus_halepensis;6973;159248,0262
16;hortaleza;pinus_pinea;30819;805070,8046
17;villaverde;pinus_pinea;13816;406414,0133
18;villa_de_vallecas;pinus_halepensis;40785;634922,3204
19;vicalvaro;pinus_halepensis;16232;430813,5629
20;san_blas_-_canillejas;pinus_pinea;6480;452323,662
21;barajas;pinus_halepensis;2102;222432,4251
