n_distrito;distrito;especie_predominante;n_masas;superficie_masa_forestal_m2;superficie_masa_forestal_ha
1;centro;;0;0,00;0,00
2;arganzuela;;0;0,00;0,00
3;retiro;pinus_pinea;1;486,11;0,05
4;salamanca;cupresus_arizonica;1;2406,40;0,24
5;chamartin;;0;0,00;0,00
6;tetuan;pinus_halepensis;39;88674,21;8,87
7;chamberi;;0;0,00;0,00
8;fuencarral_-_el_pardo;pinus_pinea;202;916067,24;91,61
9;moncloa-aravaca;pinus_pinea;84;601214,60;60,12
10;latina;pinus_pinea;181;625688,63;62,57
11;carabanchel;pinus_halepensis;31;291206,69;29,12
12;usera;;0;0,00;0,00
13;puente_de_vallecas;pinus_halepensis;10;687559,53;68,76
14;moratalaz;pinus_halepensis;14;102464,99;10,25
15;ciudad_lineal;pinus_halepensis;4;148195,13;14,82
16;hortaleza;pinus_pinea;31;784231,99;78,42
17;villaverde;pinus_pinea;53;400215,64;40,02
18;villa_de_vallecas;pinus_halepensis;5;626758,16;62,68
19;vicalvaro;pinus_halepensis;6;446509,84;44,65
20;san_blas_-_canillejas;pinus_pinea;8;195820,29;19,58
21;barajas;pinus_halepensis;8;222411,00;22,24
;;;;;
;totales:;;678;6139910,47;613,99
;;;;;
;;;;;
nota_1:;no_se_ofrecen_datos_del_n_de_unidades_existentes_en_cada_distrito_porque_los_datos_de_densidad_varian_de_unas_a_otras,_incluso_dentro_de_un_distrito_(por_ejemplo,_la_densidad_aproximada_en_los_distritos_de_retiro_y_salamanca_es_de_270_uds._por__hectarea,_valor_que_varia_entre_las_masas_de_dichos_distritos_y_con_respecto_a_otros);;;;
;por_tanto,_los_datos_sobre_el_n_de_unidades_pueden_ser_muy_imprecisos_cuando_se_quiere_dar_una_cifra_unica_por_distrito._;;;;
;;;;;
nota_2:;existen_algunos_casos_en_que_la_masa_arborea_no_se_ajusta_totalmente_a_los_limites_administrativos_del_distrito,_expandiendose_mas_alla_de_estos.;;;;
;en_estos_casos_se_ha_computado_la_totalidad_de_la_superficie_de_la_masa_al_distrito.;;;;
