occurrenceid,verbatimscientificname,scientificname,key,matchtype,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalname,authorship
,"aesculus_hippocastanum","aesculus_hippocastanum_l.","3189815","exact","98","accepted","species","plantae","tracheophyta","magnoliopsida","sapindales","sapindaceae","aesculus","aesculus_hippocastanum","aesculus_hippocastanum","l."
,"platanus_x_hybrida","platanus_ahybrida_brot.","3152814","exact","98","accepted","species","plantae","tracheophyta","magnoliopsida","proteales","platanaceae","platanus","platanus_hybrida","platanus_hybrida","brot."
,"cercis_siliquastrum","cercis_siliquastrum_l.","5353590","exact","98","accepted","species","plantae","tracheophyta","magnoliopsida","fabales","fabaceae","cercis","cercis_siliquastrum","cercis_siliquastrum","l."
,"trachycarpus_fortunei","trachycarpus_fortunei_(hook.)_h.wendl.","2739071","exact","98","accepted","species","plantae","tracheophyta","liliopsida","arecales","arecaceae","trachycarpus","trachycarpus_fortunei","trachycarpus_fortunei","h.wendl._(hook.)"
,"celtis_australis","celtis_australis_l.","2984492","exact","97","accepted","species","plantae","tracheophyta","magnoliopsida","rosales","cannabaceae","celtis","celtis_australis","celtis_australis","l."
,"cupressus_sempervirens","cupressus_sempervirens_l.","2684030","exact","98","accepted","species","plantae","tracheophyta","pinopsida","pinales","cupressaceae","cupressus","cupressus_sempervirens","cupressus_sempervirens","l."
,"gleditsia_triacanthos","gleditsia_triacanthos_l.","2959443","exact","98","accepted","species","plantae","tracheophyta","magnoliopsida","fabales","fabaceae","gleditsia","gleditsia_triacanthos","gleditsia_triacanthos","l."
,"pinus_pinea","pinus_pinea_l.","5285165","exact","98","accepted","species","plantae","tracheophyta","pinopsida","pinales","pinaceae","pinus","pinus_pinea","pinus_pinea","l."
,"sophora_japonica","sophora_japonica_l.","2963572","exact","98","synonym","species","plantae","tracheophyta","magnoliopsida","fabales","fabaceae","styphnolobium","styphnolobium_japonicum","sophora_japonica","l."
,"ulmus_pumila","ulmus_pumila_l.","5361877","exact","97","accepted","species","plantae","tracheophyta","magnoliopsida","rosales","ulmaceae","ulmus","ulmus_pumila","ulmus_pumila","l."
,"ligustrum_lucidum","ligustrum_lucidum_w.t.aiton","3172297","exact","97","accepted","species","plantae","tracheophyta","magnoliopsida","lamiales","oleaceae","ligustrum","ligustrum_lucidum","ligustrum_lucidum","w.t.aiton"
,"prunus_cerasifera_subsp._pissartii","prunus_cerasifera_ehrh.","3021730","exact","86","accepted","species","plantae","tracheophyta","magnoliopsida","rosales","rosaceae","prunus","prunus_cerasifera","prunus_cerasifera","ehrh."
,"cedrus_deodara","cedrus_deodara_(lamb.)_g.don","5284698","exact","97","accepted","species","plantae","tracheophyta","pinopsida","pinales","pinaceae","cedrus","cedrus_deodara","cedrus_deodara","g.don_(lamb.)"
